variable,description,type,values,pct_complete
mother_age_yrs,Mother's age in years,continuous,median 28 | range 14 to 47,100.0
father_age_yrs,"Father's age in years (missing for 11% of births, not at random)",continuous,median 31 | range 15 to 85,88.6
mature_mother,Mother aged 35 or over (1 = yes) - a dichotomised version of `mother_age_yrs`,binary 0/1,"1 = 159 (15.9%), 0 = 841",100.0
married,Mother married (1 = yes),binary 0/1,"1 = 594 (59.4%), 0 = 406",100.0
white_mother,Mother recorded as white (1 = yes),binary 0/1,"1 = 765 (76.5%), 0 = 235",100.0
smoker,Mother smoked during pregnancy (1 = yes),binary 0/1,"1 = 114 (11.6%), 0 = 867",98.1
weight_gain_lb,Maternal weight gain during pregnancy (lb),continuous,median 30 | range 0 to 98,95.8
prenatal_visits,Number of prenatal-care visits,continuous,median 12 | range 0 to 30,94.4
gestation_weeks,Length of gestation (weeks),continuous,median 39 | range 21 to 46,100.0
baby_sex,Sex of the baby,categorical,"male (505), female (495)",100.0
birthweight_lb,Birthweight (lb),continuous,median 7.31 | range 0.75 to 10.62,100.0
low_birthweight,Birthweight below 5.5 lb (1 = yes) - derived from `birthweight_lb`,binary 0/1,"1 = 84 (8.4%), 0 = 916",100.0
premature,Born before 37 weeks (1 = yes) - derived from `gestation_weeks`,binary 0/1,"1 = 124 (12.4%), 0 = 876",100.0
